07/02/2026

model 5827 best

lr = 0.0001
epsilon = 0.1
gamma = 0.99
c0 = 1
c1 = 0.01*0.01
c2 = 0.1*0.1
epochs = 2500
K_epochs = 5


Starting 10 parallel training runs...

[Model0] Layers: 5, Setup: [[8, 256], [256, 256], [256, 4], [4, 128], [128, 512]]
[Model1] Layers: 5, Setup: [[8, 256], [256, 256], [256, 4], [4, 512], [512, 1024]]
[Model2] Layers: 5, Setup: [[8, 256], [256, 128], [128, 8], [8, 128], [128, 1024]]
[Model3] Layers: 5, Setup: [[8, 256], [256, 64], [64, 16], [16, 512], [512, 1024]]
[Model4] Layers: 5, Setup: [[8, 256], [256, 128], [128, 16], [16, 128], [128, 1024]]
[Model5] Layers: 5, Setup: [[8, 256], [256, 256], [256, 16], [16, 512], [512, 256]]
[Model6] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model7] Layers: 5, Setup: [[8, 256], [256, 64], [64, 16], [16, 512], [512, 1024]]
[Model8] Layers: 5, Setup: [[8, 256], [256, 128], [128, 16], [16, 128], [128, 512]]
[Model9] Layers: 5, Setup: [[8, 512], [512, 128], [128, 8], [8, 512], [512, 1024]]


[Model 5827] Epoch: 700, L_clip: -0.24, Squared loss: 0.01, Entropy loss: 0.03, Avg Rewards: -4.75, Time elapsed: 39.79s
[Model 5823] Epoch: 700, L_clip: -0.30, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.79, Time elapsed: 40.47s
[Model 5832] Epoch: 800, L_clip: -0.08, Squared loss: 0.00, Entropy loss: 0.02, Avg Rewards: -4.90, Time elapsed: 41.36s
[Model 5831] Epoch: 600, L_clip: -0.03, Squared loss: 0.02, Entropy loss: 0.03, Avg Rewards: -3.79, Time elapsed: 41.91s
[Model 5830] Epoch: 800, L_clip: -0.02, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.65, Time elapsed: 42.93s
[Model 5828] Epoch: 700, L_clip: 0.05, Squared loss: 0.00, Entropy loss: 0.03, Avg Rewards: -4.92, Time elapsed: 44.02s
[Model 5824] Epoch: 700, L_clip: -0.04, Squared loss: 0.00, Entropy loss: 0.04, Avg Rewards: -4.81, Time elapsed: 45.11s
[Model 5827] Epoch: 800, L_clip: -0.22, Squared loss: 0.01, Entropy loss: 0.03, Avg Rewards: -4.79, Time elapsed: 45.76s
[Model 5825] Epoch: 700, L_clip: -0.10, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.56, Time elapsed: 45.77s
[Model 5823] Epoch: 800, L_clip: -0.24, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.78, Time elapsed: 46.45s
[Model 5832] Epoch: 900, L_clip: 0.07, Squared loss: 0.01, Entropy loss: 0.01, Avg Rewards: -4.47, Time elapsed: 46.95s
[Model 5829] Epoch: 800, L_clip: 0.34, Squared loss: 0.03, Entropy loss: 0.04, Avg Rewards: -2.13, Time elapsed: 48.12s
[Model 5828] Epoch: 800, L_clip: -0.05, Squared loss: 0.00, Entropy loss: 0.03, Avg Rewards: -4.91, Time elapsed: 50.26s
[Model 5827] Epoch: 900, L_clip: -0.20, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.68, Time elapsed: 51.28s
[Model 5826] Epoch: 700, L_clip: 0.84, Squared loss: 0.05, Entropy loss: 0.03, Avg Rewards: 1.70, Time elapsed: 51.50s
[Model 5824] Epoch: 800, L_clip: 0.01, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.56, Time elapsed: 52.11s
[Model 5823] Epoch: 900, L_clip: 0.06, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.64, Time elapsed: 52.23s
[Model 5825] Epoch: 800, L_clip: -0.01, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.40, Time elapsed: 52.98s
[Model 5832] Epoch: 1000, L_clip: 0.26, Squared loss: 0.03, Entropy loss: 0.01, Avg Rewards: -2.17, Time elapsed: 56.03s
[Model 5828] Epoch: 900, L_clip: -0.11, Squared loss: 0.00, Entropy loss: 0.04, Avg Rewards: -4.83, Time elapsed: 56.78s
[Model 5827] Epoch: 1000, L_clip: -0.17, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.73, Time elapsed: 56.93s
[Model 5830] Epoch: 900, L_clip: 0.98, Squared loss: 0.05, Entropy loss: 0.04, Avg Rewards: 0.85, Time elapsed: 57.27s
[Model 5831] Epoch: 700, L_clip: 0.42, Squared loss: 0.04, Entropy loss: 0.02, Avg Rewards: -0.30, Time elapsed: 57.43s
[Model 5823] Epoch: 1000, L_clip: -0.12, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.68, Time elapsed: 58.01s
[Model 5824] Epoch: 900, L_clip: -0.05, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.15, Time elapsed: 60.07s
[Model 5827] Epoch: 1100, L_clip: -0.42, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.88, Time elapsed: 62.61s
[Model 5828] Epoch: 1000, L_clip: 0.02, Squared loss: 0.00, Entropy loss: 0.01, Avg Rewards: -4.99, Time elapsed: 63.62s
