
lr = 0.0001
epsilon = 0.1
gamma = 0.99
c0 = 1
c1 = 0.01*0.01
c2 = 0.1*0.1
epochs = 3000
K_epochs = 5


[Model1] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model2] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model3] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model4] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model5] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model6] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model7] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model8] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model9] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]

[Model 6589] Epoch: 600, L_clip: -0.42, Squared loss: 0.02, Entropy loss: 0.05, Avg Rewards: -4.87, Time elapsed: 30.35s
[Model 6585] Epoch: 600, L_clip: -0.25, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.79, Time elapsed: 30.59s
[Model 6586] Epoch: 600, L_clip: -0.19, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.81, Time elapsed: 30.70s
[Model 6584] Epoch: 600, L_clip: -0.02, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.80, Time elapsed: 30.94s
[Model 6588] Epoch: 600, L_clip: -0.10, Squared loss: 0.01, Entropy loss: 0.03, Avg Rewards: -4.76, Time elapsed: 31.06s
[Model 6587] Epoch: 600, L_clip: -0.25, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.86, Time elapsed: 31.30s
[Model 6583] Epoch: 600, L_clip: -0.81, Squared loss: 0.02, Entropy loss: 0.06, Avg Rewards: -4.86, Time elapsed: 31.77s
[Model 6582] Epoch: 600, L_clip: -0.25, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.74, Time elapsed: 32.20s
[Model 6581] Epoch: 600, L_clip: -0.21, Squared loss: 0.01, Entropy loss: 0.03, Avg Rewards: -4.80, Time elapsed: 32.33s
[Model 6589] Epoch: 700, L_clip: -0.93, Squared loss: 0.03, Entropy loss: 0.06, Avg Rewards: -4.90, Time elapsed: 35.28s
