# Hyperparameters
lr = 0.0001
epsilon = 0.1
gamma = 0.99
c0 = 1
c1 = 0.0001
c2 = 0.01
epochs = 2500
K_epochs = 5
Total_random_runs = 5

[Model0] Layers: 3, Setup: [[8, 1024], [1024, 512], [512, 2048]]
[Model1] Layers: 3, Setup: [[8, 1024], [1024, 512], [512, 2048]]
[Model2] Layers: 3, Setup: [[8, 1024], [1024, 512], [512, 2048]]
[Model3] Layers: 3, Setup: [[8, 1024], [1024, 512], [512, 2048]]
[Model4] Layers: 3, Setup: [[8, 1024], [1024, 512], [512, 2048]]

[Model 12548] Epoch: 1000, L_clip: -0.03, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -0.62, Time elapsed: 113.33s
[Model 12552] Epoch: 1200, L_clip: -0.01, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.86, Time elapsed: 114.81s
[Model 12549] Epoch: 1200, L_clip: -0.12, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.74, Time elapsed: 118.39s
[Model 12550] Epoch: 1200, L_clip: -0.02, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.41, Time elapsed: 119.76s
[Model 12551] Epoch: 1200, L_clip: 0.02, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -3.95, Time elapsed: 122.11s
[Model 12552] Epoch: 1300, L_clip: -0.03, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.70, Time elapsed: 124.70s
[Model 12549] Epoch: 1300, L_clip: -0.07, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.65, Time elapsed: 128.81s
[Model 12550] Epoch: 1300, L_clip: 0.02, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.04, Time elapsed: 131.07s
[Model 12551] Epoch: 1300, L_clip: -0.00, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -3.48, Time elapsed: 135.15s
[Model 12552] Epoch: 1400, L_clip: 0.02, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.35, Time elapsed: 135.39s
[Model 12548] Epoch: 1100, L_clip: -0.30, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -0.09, Time elapsed: 135.94s
[Model 12549] Epoch: 1400, L_clip: -0.10, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.12, Time elapsed: 140.14s
[Model 12550] Epoch: 1400, L_clip: -0.03, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -3.00, Time elapsed: 144.96s
[Model 12552] Epoch: 1500, L_clip: 0.03, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.22, Time elapsed: 146.31s
[Model 12548] Epoch: 1200, L_clip: -0.04, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.35, Time elapsed: 146.69s
[Model 12551] Epoch: 1400, L_clip: -0.07, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -3.89, Time elapsed: 146.83s
[Model 12549] Epoch: 1500, L_clip: -0.11, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -3.77, Time elapsed: 153.34s
[Model 12548] Epoch: 1300, L_clip: -0.07, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.27, Time elapsed: 158.37s
[Model 12551] Epoch: 1500, L_clip: -0.04, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -3.73, Time elapsed: 160.16s
[Model 12552] Epoch: 1600, L_clip: -0.00, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -2.03, Time elapsed: 164.86s
[Model 12550] Epoch: 1500, L_clip: 0.05, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -1.21, Time elapsed: 165.43s
[Model 12549] Epoch: 1600, L_clip: -0.10, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -3.29, Time elapsed: 167.95s
[Model 12548] Epoch: 1400, L_clip: 0.10, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -3.70, Time elapsed: 171.26s
[Model 12551] Epoch: 1600, L_clip: -0.08, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -2.71, Time elapsed: 176.43s
[Model 12550] Epoch: 1600, L_clip: 0.08, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -2.00, Time elapsed: 182.78s
[Model 12552] Epoch: 1700, L_clip: 0.04, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -0.98, Time elapsed: 186.20s
[Model 12549] Epoch: 1700, L_clip: -0.02, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -1.46, Time elapsed: 188.19s
[Model 12548] Epoch: 1500, L_clip: -0.02, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -0.18, Time elapsed: 194.64s
[Model 12551] Epoch: 1700, L_clip: 0.05, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: 0.76, Time elapsed: 202.59s
[Model 12552] Epoch: 1800, L_clip: -0.07, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -1.53, Time elapsed: 205.59s
[Model 12550] Epoch: 1700, L_clip: -0.08, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: 2.25, Time elapsed: 213.21s
[Model 12548] Epoch: 1600, L_clip: -0.01, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -0.10, Time elapsed: 220.91s
[Model 12552] Epoch: 1900, L_clip: -0.06, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -0.99, Time elapsed: 230.05s
[Model 12549] Epoch: 1800, L_clip: 0.07, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: 5.75, Time elapsed: 232.85s
[Model 12551] Epoch: 1800, L_clip: -0.14, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: 3.06, Time elapsed: 239.50s
[Model 12550] Epoch: 1800, L_clip: 0.01, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: 1.08, Time elapsed: 242.93s
[Model 12548] Epoch: 1700, L_clip: -0.02, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: 3.25, Time elapsed: 255.79s
[Model 12549] Epoch: 1900, L_clip: -0.11, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -0.63, Time elapsed: 256.38s
[Model 12552] Epoch: 2000, L_clip: 0.04, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: 1.18, Time elapsed: 258.76s
[Model 12550] Epoch: 1900, L_clip: 0.01, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -0.60, Time elapsed: 265.76s
[Model 12551] Epoch: 1900, L_clip: 0.12, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: 7.04, Time elapsed: 285.23s
[Model 12549] Epoch: 2000, L_clip: -0.08, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: 2.74, Time elapsed: 289.82s
[Model 12548] Epoch: 1800, L_clip: 0.02, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: 3.68, Time elapsed: 291.63s
[Model 12552] Epoch: 2100, L_clip: -0.03, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: 4.55, Time elapsed: 297.64s
[Model 12550] Epoch: 2000, L_clip: 0.07, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: 6.32, Time elapsed: 308.76s
[Model 12551] Epoch: 2000, L_clip: -0.17, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: 2.33, Time elapsed: 316.92s
[Model 12548] Epoch: 1900, L_clip: 0.01, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: 2.37, Time elapsed: 324.19s
[Model 12552] Epoch: 2200, L_clip: -0.04, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: 5.49, Time elapsed: 338.91s
[Model 12551] Epoch: 2100, L_clip: 0.01, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: 0.42, Time elapsed: 342.78s
[Model 12548] Epoch: 2000, L_clip: -0.19, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: 1.37, Time elapsed: 353.53s
[Model 12550] Epoch: 2100, L_clip: -0.12, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: 11.27, Time elapsed: 366.62s
[Model 12549] Epoch: 2100, L_clip: 0.01, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: 23.34, Time elapsed: 382.69s
