lr = 0.0001
epsilon = 0.1
gamma = 0.99
c0 = 1
c1 = 0
c2 = 0
epochs = 2500
K_epochs = 5
Total_random_runs = 5


[Model0] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model1] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model2] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model3] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model4] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]

[Model 12359] Epoch: 1100, L_clip: -3.62, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.76, Time elapsed: 30.82s
[Model 12358] Epoch: 1100, L_clip: -3.68, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.81, Time elapsed: 32.20s
[Model 12361] Epoch: 1100, L_clip: -3.67, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.92, Time elapsed: 32.48s
[Model 12360] Epoch: 1100, L_clip: -3.48, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.76, Time elapsed: 33.16s
[Model 12357] Epoch: 1100, L_clip: -3.61, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.73, Time elapsed: 33.30s
[Model 12359] Epoch: 1200, L_clip: -3.64, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.77, Time elapsed: 34.08s
[Model 12358] Epoch: 1200, L_clip: -3.65, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.78, Time elapsed: 35.14s
[Model 12361] Epoch: 1200, L_clip: -3.55, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.81, Time elapsed: 35.39s
[Model 12360] Epoch: 1200, L_clip: -3.57, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.77, Time elapsed: 36.09s
[Model 12357] Epoch: 1200, L_clip: -3.86, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.90, Time elapsed: 36.09s
[Model 12359] Epoch: 1300, L_clip: -3.81, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.96, Time elapsed: 36.77s
[Model 12358] Epoch: 1300, L_clip: -3.67, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.78, Time elapsed: 38.02s
[Model 12361] Epoch: 1300, L_clip: -3.64, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.95, Time elapsed: 38.19s
[Model 12357] Epoch: 1300, L_clip: -4.00, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.97, Time elapsed: 38.80s
[Model 12360] Epoch: 1300, L_clip: -3.42, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.70, Time elapsed: 39.17s
