lr = 0.0001
epsilon = 0.1
gamma = 0.99
c0 = 1
c1 = 1
c2 = 1
epochs = 2500
K_epochs = 5
Total_random_runs = 5


[Model0] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model1] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model2] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model4] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]

[Model 12421] Epoch: 1300, L_clip: -0.00, Squared loss: 0.07, Entropy loss: 0.69, Avg Rewards: -4.97, Time elapsed: 36.56s
[Model 12420] Epoch: 1300, L_clip: 0.00, Squared loss: 0.07, Entropy loss: 0.69, Avg Rewards: -4.98, Time elapsed: 36.98s
[Model 12419] Epoch: 1300, L_clip: -0.00, Squared loss: 0.09, Entropy loss: 0.69, Avg Rewards: -4.96, Time elapsed: 37.20s
[Model 12417] Epoch: 1300, L_clip: 0.00, Squared loss: 0.06, Entropy loss: 0.69, Avg Rewards: -4.98, Time elapsed: 38.02s
[Model 12418] Epoch: 1400, L_clip: 0.00, Squared loss: 0.09, Entropy loss: 0.69, Avg Rewards: -4.97, Time elapsed: 38.88s
[Model 12421] Epoch: 1400, L_clip: 0.00, Squared loss: 0.09, Entropy loss: 0.69, Avg Rewards: -4.96, Time elapsed: 39.27s
[Model 12420] Epoch: 1400, L_clip: -0.01, Squared loss: 0.08, Entropy loss: 0.69, Avg Rewards: -4.97, Time elapsed: 39.70s
[Model 12419] Epoch: 1400, L_clip: 0.00, Squared loss: 0.11, Entropy loss: 0.69, Avg Rewards: -4.97, Time elapsed: 39.95s
[Model 12417] Epoch: 1400, L_clip: 0.00, Squared loss: 0.08, Entropy loss: 0.69, Avg Rewards: -4.97, Time elapsed: 40.83s
[Model 12418] Epoch: 1500, L_clip: 0.00, Squared loss: 0.06, Entropy loss: 0.69, Avg Rewards: -4.99, Time elapsed: 41.60s
[Model 12421] Epoch: 1500, L_clip: 0.00, Squared loss: 0.09, Entropy loss: 0.69, Avg Rewards: -4.97, Time elapsed: 41.99s
[Model 12420] Epoch: 1500, L_clip: -0.00, Squared loss: 0.07, Entropy loss: 0.69, Avg Rewards: -4.99, Time elapsed: 42.41s
[Model 12419] Epoch: 1500, L_clip: -0.00, Squared loss: 0.08, Entropy loss: 0.69, Avg Rewards: -4.96, Time elapsed: 42.73s
[Model 12417] Epoch: 1500, L_clip: -0.00, Squared loss: 0.10, Entropy loss: 0.69, Avg Rewards: -4.97, Time elapsed: 43.64s
[Model 12418] Epoch: 1600, L_clip: -0.00, Squared loss: 0.09, Entropy loss: 0.69, Avg Rewards: -4.98, Time elapsed: 44.25s
[Model 12421] Epoch: 1600, L_clip: 0.00, Squared loss: 0.08, Entropy loss: 0.69, Avg Rewards: -4.98, Time elapsed: 44.61s
[Model 12420] Epoch: 1600, L_clip: 0.00, Squared loss: 0.10, Entropy loss: 0.69, Avg Rewards: -4.96, Time elapsed: 45.09s
[Model 12419] Epoch: 1600, L_clip: -0.00, Squared loss: 0.07, Entropy loss: 0.69, Avg Rewards: -4.98, Time elapsed: 45.43s
[Model 12417] Epoch: 1600, L_clip: 0.01, Squared loss: 0.07, Entropy loss: 0.69, Avg Rewards: -4.98, Time elapsed: 46.40s
[Model 12418] Epoch: 1700, L_clip: 0.00, Squared loss: 0.06, Entropy loss: 0.69, Avg Rewards: -4.97, Time elapsed: 46.90s
[Model 12421] Epoch: 1700, L_clip: -0.01, Squared loss: 0.08, Entropy loss: 0.69, Avg Rewards: -4.97, Time elapsed: 47.28s
[Model 12420] Epoch: 1700, L_clip: -0.00, Squared loss: 0.06, Entropy loss: 0.69, Avg Rewards: -4.97, Time elapsed: 47.74s
[Model 12419] Epoch: 1700, L_clip: 0.00, Squared loss: 0.06, Entropy loss: 0.69, Avg Rewards: -4.99, Time elapsed: 48.10s
[Model 12417] Epoch: 1700, L_clip: -0.01, Squared loss: 0.09, Entropy loss: 0.69, Avg Rewards: -4.98, Time elapsed: 49.16s
[Model 12418] Epoch: 1800, L_clip: -0.00, Squared loss: 0.06, Entropy loss: 0.69, Avg Rewards: -4.99, Time elapsed: 49.54s
[Model 12421] Epoch: 1800, L_clip: 0.00, Squared loss: 0.06, Entropy loss: 0.69, Avg Rewards: -4.99, Time elapsed: 49.97s
[Model 12420] Epoch: 1800, L_clip: -0.00, Squared loss: 0.05, Entropy loss: 0.69, Avg Rewards: -4.99, Time elapsed: 50.40s
[Model 12419] Epoch: 1800, L_clip: -0.01, Squared loss: 0.10, Entropy loss: 0.69, Avg Rewards: -4.96, Time elapsed: 50.90s
[Model 12417] Epoch: 1800, L_clip: -0.00, Squared loss: 0.08, Entropy loss: 0.69, Avg Rewards: -4.98, Time elapsed: 52.11s
[Model 12418] Epoch: 1900, L_clip: 0.00, Squared loss: 0.05, Entropy loss: 0.69, Avg Rewards: -5.00, Time elapsed: 52.34s
[Model 12421] Epoch: 1900, L_clip: -0.00, Squared loss: 0.05, Entropy loss: 0.69, Avg Rewards: -5.00, Time elapsed: 52.77s
[Model 12420] Epoch: 1900, L_clip: 0.01, Squared loss: 0.06, Entropy loss: 0.69, Avg Rewards: -4.98, Time elapsed: 53.21s
[Model 12419] Epoch: 1900, L_clip: 0.00, Squared loss: 0.08, Entropy loss: 0.69, Avg Rewards: -4.97, Time elapsed: 53.70s
[Model 12417] Epoch: 1900, L_clip: -0.00, Squared loss: 0.11, Entropy loss: 0.69, Avg Rewards: -4.95, Time elapsed: 54.93s
[Model 12418] Epoch: 2000, L_clip: -0.00, Squared loss: 0.08, Entropy loss: 0.69, Avg Rewards: -4.98, Time elapsed: 55.04s
[Model 12421] Epoch: 2000, L_clip: 0.00, Squared loss: 0.07, Entropy loss: 0.69, Avg Rewards: -4.98, Time elapsed: 55.47s
[Model 12420] Epoch: 2000, L_clip: -0.00, Squared loss: 0.05, Entropy loss: 0.69, Avg Rewards: -4.99, Time elapsed: 55.90s
[Model 12419] Epoch: 2000, L_clip: 0.00, Squared loss: 0.06, Entropy loss: 0.69, Avg Rewards: -4.99, Time elapsed: 56.42s
[Model 12418] Epoch: 2100, L_clip: 0.01, Squared loss: 0.06, Entropy loss: 0.69, Avg Rewards: -4.99, Time elapsed: 57.67s
[Model 12417] Epoch: 2000, L_clip: -0.00, Squared loss: 0.06, Entropy loss: 0.69, Avg Rewards: -4.99, Time elapsed: 57.70s
[Model 12421] Epoch: 2100, L_clip: -0.01, Squared loss: 0.04, Entropy loss: 0.69, Avg Rewards: -5.00, Time elapsed: 58.10s
[Model 12420] Epoch: 2100, L_clip: -0.00, Squared loss: 0.08, Entropy loss: 0.69, Avg Rewards: -4.97, Time elapsed: 58.63s
[Model 12419] Epoch: 2100, L_clip: -0.00, Squared loss: 0.05, Entropy loss: 0.69, Avg Rewards: -5.00, Time elapsed: 59.16s
[Model 12418] Epoch: 2200, L_clip: -0.00, Squared loss: 0.05, Entropy loss: 0.69, Avg Rewards: -4.99, Time elapsed: 60.39s
[Model 12417] Epoch: 2100, L_clip: -0.00, Squared loss: 0.06, Entropy loss: 0.69, Avg Rewards: -4.98, Time elapsed: 60.57s
[Model 12421] Epoch: 2200, L_clip: 0.01, Squared loss: 0.06, Entropy loss: 0.69, Avg Rewards: -4.99, Time elapsed: 60.87s
[Model 12420] Epoch: 2200, L_clip: 0.00, Squared loss: 0.06, Entropy loss: 0.69, Avg Rewards: -4.99, Time elapsed: 61.42s
[Model 12419] Epoch: 2200, L_clip: -0.00, Squared loss: 0.07, Entropy loss: 0.69, Avg Rewards: -4.99, Time elapsed: 61.93s
[Model 12418] Epoch: 2300, L_clip: 0.00, Squared loss: 0.07, Entropy loss: 0.69, Avg Rewards: -4.98, Time elapsed: 63.06s
[Model 12417] Epoch: 2200, L_clip: -0.00, Squared loss: 0.08, Entropy loss: 0.69, Avg Rewards: -4.97, Time elapsed: 63.38s
[Model 12421] Epoch: 2300, L_clip: -0.00, Squared loss: 0.10, Entropy loss: 0.69, Avg Rewards: -4.96, Time elapsed: 63.55s
[Model 12420] Epoch: 2300, L_clip: -0.00, Squared loss: 0.06, Entropy loss: 0.69, Avg Rewards: -4.99, Time elapsed: 64.14s
[Model 12419] Epoch: 2300, L_clip: 0.00, Squared loss: 0.11, Entropy loss: 0.69, Avg Rewards: -4.95, Time elapsed: 64.65s
[Model 12418] Epoch: 2400, L_clip: -0.00, Squared loss: 0.06, Entropy loss: 0.69, Avg Rewards: -4.98, Time elapsed: 65.77s
