lr = 0.0001
epsilon = 0.1
gamma = 0.99
c0 = 1
c1 = 0.01
c2 = 0.1
epochs = 2500
K_epochs = 5



[Model0] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model1] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model2] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model3] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model4] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]

[Model 12254] Epoch: 1000, L_clip: 0.07, Squared loss: 0.05, Entropy loss: 0.05, Avg Rewards: 2.86, Time elapsed: 49.86s
[Model 12256] Epoch: 1800, L_clip: -0.01, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.77, Time elapsed: 49.90s
[Model 12256] Epoch: 1900, L_clip: -0.01, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.74, Time elapsed: 52.50s
[Model 12256] Epoch: 2000, L_clip: -0.03, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.72, Time elapsed: 55.02s
[Model 12255] Epoch: 1700, L_clip: -0.03, Squared loss: 0.04, Entropy loss: 0.05, Avg Rewards: -2.14, Time elapsed: 56.64s
[Model 12252] Epoch: 1100, L_clip: -0.29, Squared loss: 0.05, Entropy loss: 0.05, Avg Rewards: 3.16, Time elapsed: 57.68s
[Model 12256] Epoch: 2100, L_clip: 0.03, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.33, Time elapsed: 58.41s
[Model 12252] Epoch: 1200, L_clip: -0.02, Squared loss: 0.00, Entropy loss: 0.07, Avg Rewards: -4.99, Time elapsed: 60.39s
[Model 12253] Epoch: 1400, L_clip: 0.16, Squared loss: 0.04, Entropy loss: 0.04, Avg Rewards: 10.46, Time elapsed: 61.26s
[Model 12252] Epoch: 1300, L_clip: -0.01, Squared loss: 0.00, Entropy loss: 0.07, Avg Rewards: -4.89, Time elapsed: 62.99s
[Model 12256] Epoch: 2200, L_clip: -0.04, Squared loss: 0.02, Entropy loss: 0.05, Avg Rewards: -3.24, Time elapsed: 63.33s
[Model 12255] Epoch: 1800, L_clip: 0.15, Squared loss: 0.05, Entropy loss: 0.05, Avg Rewards: -0.05, Time elapsed: 65.56s
[Model 12252] Epoch: 1400, L_clip: -0.02, Squared loss: 0.00, Entropy loss: 0.07, Avg Rewards: -4.83, Time elapsed: 65.77s
[Model 12254] Epoch: 1100, L_clip: 0.16, Squared loss: 0.05, Entropy loss: 0.05, Avg Rewards: 7.30, Time elapsed: 66.41s
[Model 12252] Epoch: 1500, L_clip: 0.00, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.66, Time elapsed: 68.80s
[Model 12256] Epoch: 2300, L_clip: 0.10, Squared loss: 0.05, Entropy loss: 0.04, Avg Rewards: 1.99, Time elapsed: 73.82s
[Model 12252] Epoch: 1600, L_clip: 0.10, Squared loss: 0.03, Entropy loss: 0.05, Avg Rewards: -2.55, Time elapsed: 74.71s
[Model 12252] Epoch: 1700, L_clip: 0.03, Squared loss: 0.05, Entropy loss: 0.04, Avg Rewards: 0.92, Time elapsed: 84.62s
